Comment,Category
"This movie was amazing","Positive"
"Really enjoyed this video","Positive"
"Super video very useful","Positive"
"Excellent explanation","Positive"
"Semma mass video","Positive"
"Romba nalla irukku","Positive"
"Vera level video","Positive"
"Awesome work","Positive"
"Very nice movie","Positive"
"I loved this video","Positive"
"Super ah irukku","Positive"
"Semma interesting ah irundhuchu","Positive"
"Movie romba nalla irundhuchu","Positive"
"Padam vera level","Positive"
"Mass performance","Positive"
"Acting was excellent","Positive"
"Story was really good","Positive"
"Climax was amazing","Positive"
"Best movie ever","Positive"
"One of the best videos","Positive"
"Really good content","Positive"
"Very informative video","Positive"
"Keep up the good work","Positive"
"Great job bro","Positive"
"Fantastic video","Positive"
"Wonderful explanation","Positive"
"Nice editing","Positive"
"Super editing","Positive"
"Voice modulation semma","Positive"
"Background music was superb","Positive"
"இந்த படம் ரொம்ப நல்லா இருக்கு","Positive"
"படம் செம்மையா இருக்கு","Positive"
"நடிப்பு அருமை","Positive"
"கதை சூப்பரா இருக்கு","Positive"
"வீடியோ நல்லா இருக்கு","Positive"
"ரொம்ப அருமையான வீடியோ","Positive"
"செம மாஸ்","Positive"
"வேற லெவல் படம்","Positive"
"மிகவும் அருமை","Positive"
"சூப்பர் ப்ரோ","Positive"
"இந்த வீடியோ பிடிச்சிருக்கு","Positive"
"படம் ரொம்ப பிடிச்சிருக்கு","Positive"
"அருமையான நடிப்பு","Positive"
"கிளைமாக்ஸ் செம்ம","Positive"
"மியூசிக் சூப்பர்","Positive"
"கதை நல்லா சொல்லிருக்காங்க","Positive"
"செம்ம எடிட்டிங்","Positive"
"இந்த content useful ah irukku","Positive"
"Explanation romba clear ah irukku","Positive"
"Content quality super","Positive"
"Bro semma video","Positive"
"Thalaiva vera level","Positive"
"Mass da","Positive"
"Semma performance","Positive"
"Superb acting","Positive"
"Really loved the story","Positive"
"Absolutely fantastic","Positive"
"Totally worth watching","Positive"
"Enjoyed every minute","Positive"
"Very entertaining","Positive"
"Highly recommended","Positive"

"This movie is very bad","Negative"
"Worst movie ever","Negative"
"Very boring video","Negative"
"Waste of time","Negative"
"Not good at all","Negative"
"Movie was disappointing","Negative"
"Romba mokka","Negative"
"Nalla illa","Negative"
"Pidikala","Negative"
"Romba mosam","Negative"
"Story is very weak","Negative"
"Acting was poor","Negative"
"Bad editing","Negative"
"Audio quality is bad","Negative"
"Video quality is poor","Negative"
"Very disappointing movie","Negative"
"Not worth watching","Negative"
"Totally boring","Negative"
"I didn't like this movie","Negative"
"This was a waste","Negative"
"Too much boring","Negative"
"Nothing interesting","Negative"
"Story doesn't make sense","Negative"
"Climax was terrible","Negative"
"Worst acting","Negative"
"Bad performance","Negative"
"Very poor explanation","Negative"
"Not useful at all","Negative"
"Content is boring","Negative"
"Video is disappointing","Negative"
"இந்த படம் நல்லா இல்லை","Negative"
"படம் ரொம்ப மொக்கை","Negative"
"ரொம்ப மோசமான படம்","Negative"
"இந்த கதை பிடிக்கல","Negative"
"நடிப்பு சுத்தமா நல்லா இல்லை","Negative"
"கதை ரொம்ப மோசம்","Negative"
"வீடியோ மொக்கையா இருக்கு","Negative"
"சுத்த வேஸ்ட்","Negative"
"பார்க்கவே பிடிக்கல","Negative"
"நல்லா எடுக்கல","Negative"
"இந்த படம் செட் ஆகல","Negative"
"கிளைமாக்ஸ் பிடிக்கல","Negative"
"எடிட்டிங் ரொம்ப மோசம்","Negative"
"சவுண்ட் நல்லா இல்லை","Negative"
"வீடியோ quality மோசம்","Negative"
"இந்த content useful இல்லை","Negative"
"Explanation புரியல","Negative"
"ரொம்ப bore அடிக்குது","Negative"
"Semma mokka video","Negative"
"Romba bore ah irukku","Negative"
"Padam suthama nalla illa","Negative"
"Story romba weak","Negative"
"Acting konjam kooda nalla illa","Negative"
"Idhu enna mokka story","Negative"
"Video waste ah irukku","Negative"
"Expected better but disappointed","Negative"
"Not impressive","Negative"
"Could have been much better","Negative"
"Didn't enjoy this","Negative"
"Very overrated","Negative"

"What is the movie name?","Question"
"Where can I watch this?","Question"
"Why did he do that?","Question"
"When will part 2 release?","Question"
"How did you make this video?","Question"
"Idhu enna movie?","Question"
"Yen ipdi pannenga?","Question"
"Who is the hero?","Question"
"Who is the actress?","Question"
"What is the song name?","Question"
"Where was this scene shot?","Question"
"When is the next video?","Question"
"How much did the movie cost?","Question"
"Is this available on Netflix?","Question"
"Can you share the link?","Question"
"Is this a real story?","Question"
"Why is the video so short?","Question"
"Which camera did you use?","Question"
"How old is this movie?","Question"
"Can someone explain this scene?","Question"
"இந்த படத்தின் பெயர் என்ன?","Question"
"இந்த படம் எங்கே பார்க்கலாம்?","Question"
"ஹீரோ யார்?","Question"
"ஹீரோயின் யார்?","Question"
"இந்த பாடல் பெயர் என்ன?","Question"
"இந்த scene எங்கே எடுத்தாங்க?","Question"
"எப்போ part 2 வரும்?","Question"
"ஏன் இப்படி பண்ணாங்க?","Question"
"இந்த படம் உண்மைக் கதையா?","Question"
"எப்படி இந்த video edit பண்ணீங்க?","Question"
"என்ன படம் இது?","Question"
"எங்க shoot பண்ணாங்க?","Question"
"இந்த movie OTT ல இருக்கா?","Question"
"இந்த video எப்ப upload பண்ணீங்க?","Question"
"Idhu enga shoot pannanga?","Question"
"Hero yaaru bro?","Question"
"Indha movie name enna?","Question"
"Part 2 eppo varum?","Question"
"Yen ipdi ending vachanga?","Question"
"Indha song name enna?","Question"
"Enga indha movie paakalam?","Question"
"Who directed this movie?","Question"
"Is there a sequel?","Question"
"Can you explain the ending?","Question"
"Why is everyone talking about this?","Question"
"How long is the movie?","Question"
"Which year was this released?","Question"
"Can I watch this with family?","Question"
"Is this movie available in Tamil?","Question"
"What's the budget of this movie?","Question"

"Next video please explain this","Suggestion"
"Please make part 2","Suggestion"
"You should make more videos","Suggestion"
"Could you explain this topic?","Suggestion"
"Next time improve the audio","Suggestion"
"Movie name 6 Maniku Mela nu vachirukalam","Suggestion"
"Adutha video la idha explain pannunga","Suggestion"
"Improve pannunga","Suggestion"
"Part 2 pannalam","Suggestion"
"Please upload more videos like this","Suggestion"
"You should explain the story in detail","Suggestion"
"Please add subtitles","Suggestion"
"Try making longer videos","Suggestion"
"Next video konjam detailed ah pannunga","Suggestion"
"Audio quality improve pannunga","Suggestion"
"Editing konjam improve pannalam","Suggestion"
"Next time Tamil subtitles podunga","Suggestion"
"Part 2 kandippa pannunga","Suggestion"
"Indha topic ah innum detailed ah sollunga","Suggestion"
"Konjam slow ah explain pannunga","Suggestion"
"More examples kudunga","Suggestion"
"Please make a tutorial","Suggestion"
"Can you make a comparison video?","Suggestion"
"Please explain the ending","Suggestion"
"Add more details in the next video","Suggestion"
"Next video la idha cover pannunga","Suggestion"
"இந்த மாதிரி இன்னும் videos போடுங்க","Suggestion"
"அடுத்த video ல இன்னும் detail ஆ சொல்லுங்க","Suggestion"
"தமிழில் subtitles போடுங்க","Suggestion"
"கொஞ்சம் slow ஆ explain பண்ணுங்க","Suggestion"
"Part 2 பண்ணுங்க","Suggestion"
"இதை இன்னும் தெளிவா சொல்லுங்க","Suggestion"
"Audio quality improve பண்ணுங்க","Suggestion"
"Editing கொஞ்சம் improve பண்ணலாம்","Suggestion"
"இந்த topic பற்றி இன்னொரு video போடுங்க","Suggestion"
"அடுத்த video எப்போ போடுவீங்க?","Suggestion"
"Idha konjam detailed ah explain pannunga","Suggestion"
"Next video la examples kudunga","Suggestion"
"Subtitles add pannunga","Suggestion"
"Video length konjam increase pannunga","Suggestion"
"Thumbnail improve pannunga","Suggestion"
"Voice clear ah irukkanum","Suggestion"
"Next time better lighting use pannunga","Suggestion"
"Movie Name : 6 Maniku Mela nu vachirukalam 😂😂 innu crowd varum paaka ❤️❤️","Suggestion"
"Indha title vida vera title vachirukalam","Suggestion"
"Thumbnail vera madhiri try pannalam","Suggestion"
"More Tamil content create pannunga","Suggestion"
"Please cover this topic next","Suggestion"
"Could you make a follow-up video?","Suggestion"
"Would be better if you added subtitles","Suggestion"
"Maybe explain this scene separately","Suggestion"

"Subscribe to my channel","Spam"
"Please check my channel","Spam"
"Visit my channel and subscribe","Spam"
"Free giveaway click here","Spam"
"Earn money from home","Spam"
"Follow my channel","Spam"
"Check my video","Spam"
"Subscribe guys","Spam"
"Please subscribe my channel","Spam"
"Support my channel","Spam"
"Watch my latest video","Spam"
"Click the link in my bio","Spam"
"Free money available","Spam"
"Earn money fast","Spam"
"Make money online","Spam"
"Join my Telegram channel","Spam"
"Contact me on WhatsApp","Spam"
"DM me for details","Spam"
"Limited offer click now","Spam"
"Win a free iPhone","Spam"
"Free followers available","Spam"
"Get subscribers instantly","Spam"
"Like my channel and subscribe","Spam"
"Please visit my profile","Spam"
"Check my latest upload","Spam"
"இந்த channel subscribe பண்ணுங்க","Spam"
"என் channel பாருங்க","Spam"
"என் video check பண்ணுங்க","Spam"
"Channel subscribe பண்ணுங்க bro","Spam"
"Free giveaway இருக்கு click பண்ணுங்க","Spam"
"Money earn பண்ணலாம்","Spam"
"என் channel support பண்ணுங்க","Spam"
"Telegram group join பண்ணுங்க","Spam"
"WhatsApp ல contact பண்ணுங்க","Spam"
"இந்த link click பண்ணுங்க","Spam"
"Free followers கிடைக்கும்","Spam"
"Subscribers increase பண்ணிக்கலாம்","Spam"
"Channel visit பண்ணுங்க","Spam"
"Bro என் channel பாருங்க","Spam"
"Subscribe for more content","Spam"
"Check out my channel","Spam"
"Follow me for more","Spam"
"Free gift click now","Spam"
"Earn money without investment","Spam"
"Join now and win","Spam"
"Click my profile link","Spam"
"Promote your channel here","Spam"
"Get free subscribers","Spam"
"Buy followers now","Spam"

"You are an idiot","Toxic"
"Shut up","Toxic"
"Such a stupid video","Toxic"
"You are dumb","Toxic"
"Useless video","Toxic"
"Stop talking nonsense","Toxic"
"Kiruku madhiri pesadha","Toxic"
"Baadu video","Toxic"
"You are stupid","Toxic"
"What an idiot","Toxic"
"Don't act dumb","Toxic"
"You have no brain","Toxic"
"Such a useless person","Toxic"
"Your content is trash","Toxic"
"This is garbage","Toxic"
"Stop wasting our time","Toxic"
"You don't know anything","Toxic"
"Shut your mouth","Toxic"
"Nobody likes you","Toxic"
"You are pathetic","Toxic"
"Unakku onnum theriyadhu","Toxic"
"Kiruku payale","Toxic"
"Enna loosu madhiri pesura","Toxic"
"Unakku brain illaya","Toxic"
"Dei poda","Toxic"
"Po da loosu","Toxic"
"Romba irritating ah irukka","Toxic"
"Un video oru waste","Toxic"
"Unakku edhuvum theriyadhu","Toxic"
"Pesama po","Toxic"
"Un content trash","Toxic"
"Semma irritating","Toxic"
"Idhu romba kevalama irukku","Toxic"
"Unakku sense eh illa","Toxic"
"Stop this nonsense","Toxic"
"You're annoying","Toxic"
"Get lost","Toxic"
"Nobody wants this","Toxic"
"This creator is useless","Toxic"
"Terrible creator","Toxic"
"You're embarrassing yourself","Toxic"
"What a dumb idea","Toxic"
"Completely stupid","Toxic"
"Absolutely useless","Toxic"
"Don't upload this garbage","Toxic"
"Your video sucks","Toxic"
"Such nonsense","Toxic"
"Very irritating person","Toxic"
"Bad content creator","Toxic"
"Stop making garbage videos","Toxic"

"The movie was released yesterday","Neutral"
"I watched this yesterday","Neutral"
"This is the movie scene","Neutral"
"He is the main actor","Neutral"
"Video uploaded today","Neutral"
"Movie duration is two hours","Neutral"
"Indha movie yesterday pathen","Neutral"
"Video nalla iruku nu sollala","Neutral"
"The movie was released in 2024","Neutral"
"This scene comes at the beginning","Neutral"
"The actor appears in this scene","Neutral"
"This video is five minutes long","Neutral"
"The song starts at 2 minutes","Neutral"
"I watched this with my friends","Neutral"
"This is from the second part","Neutral"
"The movie has two songs","Neutral"
"The video has subtitles","Neutral"
"The actor is from Chennai","Neutral"
"This scene was shown in the trailer","Neutral"
"The movie is available online","Neutral"
"இந்த படம் நேற்று பார்த்தேன்","Neutral"
"இந்த scene படத்தின் ஆரம்பத்தில் வரும்","Neutral"
"இந்த video ஐந்து நிமிஷம் இருக்கு","Neutral"
"இந்த பாடல் 2 minutes ல வரும்","Neutral"
"இந்த actor Chennai ல இருந்து","Neutral"
"இந்த படம் 2024 ல release ஆச்சு","Neutral"
"Video இன்று upload பண்ணிருக்காங்க","Neutral"
"நான் இந்த படத்தை friends கூட பார்த்தேன்","Neutral"
"இது second part scene","Neutral"
"இந்த movie ல இரண்டு songs இருக்கு","Neutral"
"Indha movie 2024 la release achu","Neutral"
"Video five minutes long ah irukku","Neutral"
"Indha scene trailer la vandhuchu","Neutral"
"Actor Chennai la irukkaru","Neutral"
"Movie online la available ah irukku","Neutral"
"Watched this yesterday","Neutral"
"This is the second scene","Neutral"
"The actor appears at the end","Neutral"
"This video was uploaded yesterday","Neutral"
"The movie has three parts","Neutral"
"This is a Tamil movie","Neutral"
"The scene starts after the song","Neutral"
"I watched the full video","Neutral"
"The video has English subtitles","Neutral"
"The movie duration is 2 hours","Neutral"
"This is the original trailer","Neutral"
